neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Der Person mit Sachverstand in ...  überprüfte den Schaden am Auto.,Der Sachverständige überprüfte den Schaden am Auto.,Die Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.
Die singende Person trat auf der Bühne vor einem großen Publikum auf.,Der Sänger trat auf der Bühne vor einem großen Publikum auf.,Die Sängerin trat auf der Bühne vor einem großen Publikum auf.,Dier Sänger:in trat auf der Bühne vor einem großen Publikum auf.,Dier Sänger_in trat auf der Bühne vor einem großen Publikum auf.,Dier Sänger*in trat auf der Bühne vor einem großen Publikum auf.,Dier Sänger/in trat auf der Bühne vor einem großen Publikum auf.,Dier SängerIn trat auf der Bühne vor einem großen Publikum auf.
... An der Oper singen 30 Personen hauptberuflich.,... An der Oper arbeiten 30 hauptberufliche Sänger.,... An der Oper arbeiten 30 hauptberufliche Sängerinnen.,... An der Oper arbeiten 30 hauptberufliche Sänger:innen.,... An der Oper arbeiten 30 hauptberufliche Sänger_innen.,... An der Oper arbeiten 30 hauptberufliche Sänger*innen.,... An der Oper arbeiten 30 hauptberufliche Sänger/innen.,... An der Oper arbeiten 30 hauptberufliche SängerInnen.
Der Finanzvorstand verwaltete die Finanzen des Vereins.,Der Schatzmeister verwaltete die Finanzen des Vereins.,Die Schatzmeisterin verwaltete die Finanzen des Vereins.,Dier Schatzmeister:in verwaltete die Finanzen des Vereins.,Dier Schatzmeister_in verwaltete die Finanzen des Vereins.,Dier Schatzmeister*in verwaltete die Finanzen des Vereins.,Dier Schatzmeister/in verwaltete die Finanzen des Vereins.,Dier SchatzmeisterIn verwaltete die Finanzen des Vereins.
Die Schlichtungsperson vermittelte im Streit.,Der Schlichter vermittelte im Streit.,Die Schlichterin vermittelte im Streit.,Die Schlichter:in vermittelte im Streit.,Die Schlichter_in vermittelte im Streit.,Die Schlichter*in vermittelte im Streit.,Die Schlichter/in vermittelte im Streit.,Die SchlichterIn vermittelte im Streit.
Die auf die Schmiedekunst spezialisierte Person formte das heiße Eisen zu einem Hufeisen.,Der Schmied formte das heiße Eisen zu einem Hufeisen.,Die Schmiedin formte das heiße Eisen zu einem Hufeisen.,Dier Schmied:in formte das heiße Eisen zu einem Hufeisen.,Dier Schmied_in formte das heiße Eisen zu einem Hufeisen.,Dier Schmied*in formte das heiße Eisen zu einem Hufeisen.,Dier Schmied/in formte das heiße Eisen zu einem Hufeisen.,Dier SchmiedIn formte das heiße Eisen zu einem Hufeisen.
Die Literaturschaffenden veröffentlichten ihren ersten Roman.,Die Schriftsteller veröffentlichten ihren ersten Roman.,Die Schriftstellerinnen veröffentlichten ihren ersten Roman.,Die Schriftsteller:innen veröffentlichten ihren ersten Roman.,Die Schriftsteller_innen veröffentlichten ihren ersten Roman.,Die Schriftsteller*innen veröffentlichten ihren ersten Roman.,Die Schriftsteller/innen veröffentlichten ihren ersten Roman.,Die SchriftstellerInnen veröffentlichten ihren ersten Roman.
Die schuhherstellende Fachkraft reparierte die kaputten Stiefel.,Der Schuhmacher reparierte die kaputten Stiefel.,Die Schuhmacherin reparierte die kaputten Stiefel.,Dier Schuhmacher:in reparierte die kaputten Stiefel.,Dier Schuhmacher_in reparierte die kaputten Stiefel.,Dier Schuhmacher*in reparierte die kaputten Stiefel.,Dier Schuhmacher/in reparierte die kaputten Stiefel.,Dier SchuhmacherIn reparierte die kaputten Stiefel.
Der Mensch ohne Schulabschluss suchte nach einer neuen Ausbildungsmöglichkeit.,Der Schulabbrecher suchte nach einer neuen Ausbildungsmöglichkeit.,Die Schulabbrecherin suchte nach einer neuen Ausbildungsmöglichkeit.,Dier Schulabbrecher:in suchte nach einer neuen Ausbildungsmöglichkeit.,Dier Schulabbrecher_in suchte nach einer neuen Ausbildungsmöglichkeit.,Dier Schulabbrecher*in suchte nach einer neuen Ausbildungsmöglichkeit.,Dier Schulabbrecher/in suchte nach einer neuen Ausbildungsmöglichkeit.,Dier SchulabbrecherIn suchte nach einer neuen Ausbildungsmöglichkeit.
Die schuldige Person gestand seine Tat vor Gericht.,Der Schuldige gestand seine Tat vor Gericht.,Die Schuldige gestand ihre Tat vor Gericht.,Dier Schuldige gestand deren Tat vor Gericht.,Dier Schuldige gestand deren Tat vor Gericht.,Dier Schuldige gestand deren Tat vor Gericht.,Dier Schuldige gestand deren Tat vor Gericht.,Dier Schuldige gestand deren Tat vor Gericht.
Die in Schuld stehende Person konnte ihre Rechnungen nicht mehr bezahlen.,Der Schuldner konnte seine Rechnungen nicht mehr bezahlen.,Die Schuldnerin konnte ihre Rechnungen nicht mehr bezahlen.,Dier Schuldner:in konnte deren Rechnungen nicht mehr bezahlen.,Dier Schuldner_in konnte deren Rechnungen nicht mehr bezahlen.,Dier Schuldner*in konnte deren Rechnungen nicht mehr bezahlen.,Dier Schuldner/in konnte deren Rechnungen nicht mehr bezahlen.,Dier SchuldnerIn konnte deren Rechnungen nicht mehr bezahlen.
"Der Schulaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen.","Der Schüleraustausch ermöglichte ihm, ein Jahr in Frankreich zu verbringen.","Der Schülerinaustausch ermöglichte ihr, ein Jahr in Frankreich zu verbringen.","Der Schülerinaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen.","Der Schülerinaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen.","Der Schülerinaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen.","Der Schülerinaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen.","Der Schülerinaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen."
Der Schulausweis dient als Nachweis für die Ermäßigung.,Der Schülerausweis dient als Nachweis für die Schülerermäßigung.,Der Schülerinausweis dient als Nachweis für die Schülerinermäßigung.,Der Schüler:inausweis dient als Nachweis für die Schüler:inermäßigung.,Der Schüler_inausweis dient als Nachweis für die Schüler_inermäßigung.,Der Schüler*inausweis dient als Nachweis für die Schüler*inermäßigung.,Der Schüler/inausweis dient als Nachweis für die Schüler/inermäßigung.,Der SchülerInausweis dient als Nachweis für die SchülerInermäßigung.
Der Vertretung der Lernenden setzte sich für die Belange der Klasse ein.,Der Schülervertreter setzte sich für die Belange der Klasse ein.,Die Schülerinvertreterin setzte sich für die Belange der Klasse ein.,Dier Schüler:invertreter:in setzte sich für die Belange der Klasse ein.,Dier Schüler_invertreter_in setzte sich für die Belange der Klasse ein.,Dier Schüler*invertreter*in setzte sich für die Belange der Klasse ein.,Dier Schüler/invertreter/in setzte sich für die Belange der Klasse ein.,Dier SchülerInvertreterIn setzte sich für die Belange der Klasse ein.
Die Schülerschaftszeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schülerzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schülerinzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schüler:inzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schüler_inzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schüler*inzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schüler/inzeitung berichtete über aktuelle Ereignisse an der Schule.,Die SchülerInzeitung berichtete über aktuelle Ereignisse an der Schule.
Die Fachkraft für Schulsozialarbeit half der Schülerschaft bei persönlichen Problemen.,Der Schulsozialarbeiter half Schülern bei persönlichen Problemen.,Die Schulsozialarbeiterin half Schülerinnen bei persönlichen Problemen.,Dier Schulsozialarbeiter:in half Schüler:innen bei persönlichen Problemen.,Dier Schulsozialarbeiter_in half Schüler_innen bei persönlichen Problemen.,Dier Schulsozialarbeiter*in half Schüler*innen bei persönlichen Problemen.,Dier Schulsozialarbeiter/in half Schüler/innen bei persönlichen Problemen.,Dier SchulsozialarbeiterIn half SchülerInnen bei persönlichen Problemen.
Die Schulungsleitung erklärte die Sicherheitsvorschriften.,"Der Schulungsleiter erklärte die Sicherheitsvorschriften.
","Die Schulungsleiterin erklärte die Sicherheitsvorschriften.
",Dier Schulungsleiter:in erklärte die Sicherheitsvorschriften.,Dier Schulungsleiter_in erklärte die Sicherheitsvorschriften.,Dier Schulungsleiter*in erklärte die Sicherheitsvorschriften.,Dier Schulungsleiter/in erklärte die Sicherheitsvorschriften.,Dier SchulungsleiterIn erklärte die Sicherheitsvorschriften.
Die Schusterei reparierte die alten Schuhe.,Der Schuster reparierte die alten Schuhe.,Die Schusterin reparierte die alten Schuhe.,Dier Schuster:in reparierte die alten Schuhe.,Dier Schuster_in reparierte die alten Schuhe.,Dier Schuster*in reparierte die alten Schuhe.,Dier Schuster/in reparierte die alten Schuhe.,Dier SchusterIn reparierte die alten Schuhe.
Die schießende Person traf das Ziel mit hoher Präzision.,Der Schütze traf das Ziel mit hoher Präzision.,Die Schützin traf das Ziel mit hoher Präzision.,Dier Schütz:in traf das Ziel mit hoher Präzision.,Dier Schütz_in traf das Ziel mit hoher Präzision.,Dier Schütz*in traf das Ziel mit hoher Präzision.,Dier Schütz/in traf das Ziel mit hoher Präzision.,Dier SchützIn traf das Ziel mit hoher Präzision.
Der Film zeigte die Geschichte einer schwangeren Person.,Der Film zeigte die Geschichte eines schwangeren Mannes.,Der Film zeigte die Geschichte einer schwangeren Frau.,Der Film zeigte die Geschichte einer schwangeren Person.,Der Film zeigte die Geschichte einer schwangeren Person.,Der Film zeigte die Geschichte einer schwangeren Person.,Der Film zeigte die Geschichte einer schwangeren Person.,Der Film zeigte die Geschichte einer schwangeren Person.
Die Schwimmlehrkraft brachte den Kindern das Tauchen bei.,Der Schwimmlehrer brachte den Kindern das Tauchen bei.,Die Schwimmlehrerin brachte den Kindern das Tauchen bei.,Dier Schwimmlehrer:in brachte den Kindern das Tauchen bei.,Dier Schwimmlehrer_in brachte den Kindern das Tauchen bei.,Dier Schwimmlehrer*in brachte den Kindern das Tauchen bei.,Dier Schwimmlehrer/in brachte den Kindern das Tauchen bei.,Dier SchwimmlehrerIn brachte den Kindern das Tauchen bei.
Die Seeleute entdeckten neue Länder.,Die Seefahrer entdeckten neue Länder.,Die Seefahrerinnen entdeckten neue Länder.,Die Seefahrer:innen entdeckten neue Länder.,Die Seefahrer_innen entdeckten neue Länder.,Die Seefahrer*innen entdeckten neue Länder.,Die Seefahrer/innen entdeckten neue Länder.,Die SeefahrerInnen entdeckten neue Länder.
Die seelsorgende Person unterstützte die Menschen in schwierigen Zeiten.,Der Seelsorger unterstützte die Menschen in schwierigen Zeiten.,Die Seelsorgerin unterstützte die Menschen in schwierigen Zeiten.,Dier Seelsorger:in unterstützte die Menschen in schwierigen Zeiten.,Dier Seelsorger_in unterstützte die Menschen in schwierigen Zeiten.,Dier Seelsorger*in unterstützte die Menschen in schwierigen Zeiten.,Dier Seelsorger/in unterstützte die Menschen in schwierigen Zeiten.,Dier SeelsorgerIn unterstützte die Menschen in schwierigen Zeiten.
Die Hochsee-Fachkraft liebte das Leben auf See.,Der Seemann liebte das Leben auf See.,Die Seefrau liebte das Leben auf See.,Die seefahrende Person liebte das Leben auf See.,Die seefahrende Person liebte das Leben auf See.,Die seefahrende Person liebte das Leben auf See.,Die seefahrende Person liebte das Leben auf See.,Die seefahrende Person liebte das Leben auf See.
Die segelnde Person setzte die Segel und stach in See.,Der Segler setzte die Segel und stach in See.,Die Seglerin setzte die Segel und stach in See.,Dier Segler:in setzte die Segel und stach in See.,Dier Segler_in setzte die Segel und stach in See.,Dier Segler*in setzte die Segel und stach in See.,Dier Segler/in setzte die Segel und stach in See.,Dier SeglerIn setzte die Segel und stach in See.
Die sich selbst darstellende Person suchte immer nach Aufmerksamkeit.,Der Selbstdarsteller suchte immer nach Aufmerksamkeit.,Die Selbstdarstellerin suchte immer nach Aufmerksamkeit.,Dier Selbstdarsteller:in suchte immer nach Aufmerksamkeit.,Dier Selbstdarsteller_in suchte immer nach Aufmerksamkeit.,Dier Selbstdarsteller*in suchte immer nach Aufmerksamkeit.,Dier Selbstdarsteller/in suchte immer nach Aufmerksamkeit.,Dier SelbstdarstellerIn suchte immer nach Aufmerksamkeit.
Die Seminarleitung führte durch das Programm des Workshops.,Der Seminarleiter führte durch das Programm des Workshops.,Die Seminarleiterin führte durch das Programm des Workshops.,Dier Seminarleiter:in führte durch das Programm des Workshops.,Dier Seminarleiter_in führte durch das Programm des Workshops.,Dier Seminarleiter*in führte durch das Programm des Workshops.,Dier Seminarleiter/in führte durch das Programm des Workshops.,Dier SeminarleiterIn führte durch das Programm des Workshops.
Die Sendenden der Karte haben ihre Unterschriften vergessen.,Die Sender der Karte haben ihre Unterschriften vergessen.,Die Senderinnen der Karte haben ihre Unterschriften vergessen.,Die Sender:innen der Karte haben ihre Unterschriften vergessen.,Die Sender_innen der Karte haben ihre Unterschriften vergessen.,Die Sender*innen der Karte haben ihre Unterschriften vergessen.,Die Sender/innen der Karte haben ihre Unterschriften vergessen.,Die SenderInnen der Karte haben ihre Unterschriften vergessen.
Die Servicefachkraft half mir bei meinem Problem.,Der Servicemitarbeiter half mir bei meinem Problem.,Die Servicemitarbeiterin half mir bei meinem Problem.,Dier Servicemitarbeiter:in half mir bei meinem Problem.,Dier Servicemitarbeiter_in half mir bei meinem Problem.,Dier Servicemitarbeiter*in half mir bei meinem Problem.,Dier Servicemitarbeiter/in half mir bei meinem Problem.,Dier ServicemitarbeiterIn half mir bei meinem Problem.
Unser Servicebetrieb übernimmt die Wartung der Geräte.,Unser Servicepartner übernimmt die Wartung der Geräte.,Unsere Servicepartnerin übernimmt die Wartung der Geräte.,Unser:e Servicepartner:in übernimmt die Wartung der Geräte.,Unser_e Servicepartner_in übernimmt die Wartung der Geräte.,Unser*e Servicepartner*in übernimmt die Wartung der Geräte.,Unser/e Servicepartner/in übernimmt die Wartung der Geräte.,UnserE ServicepartnerIn übernimmt die Wartung der Geräte.
Die erstplatzierte Person des Rennens erhielt eine Trophäe.,Der Sieger des Rennens erhielt eine Trophäe.,Die Siegerin des Rennens erhielt eine Trophäe.,Dier Sieger:in des Rennens erhielt eine Trophäe.,Dier Sieger_in des Rennens erhielt eine Trophäe.,Dier Sieger*in des Rennens erhielt eine Trophäe.,Dier Sieger/in des Rennens erhielt eine Trophäe.,Dier SiegerIn des Rennens erhielt eine Trophäe.
Bei der Bestenehrung wurden die besten athletischen Personen ausgezeichnet.,Bei der Siegerehrung wurden die besten Athleten ausgezeichnet.,Bei der Siegerinehrung wurden die besten Athletinnen ausgezeichnet.,Bei der Sieger:inehrung wurden die besten Athlet:innen ausgezeichnet.,Bei der Sieger_inehrung wurden die besten Athlet_innen ausgezeichnet.,Bei der Sieger*inehrung wurden die besten Athlet*innen ausgezeichnet.,Bei der Sieger/inehrung wurden die besten Athlet/innen ausgezeichnet.,Bei der SiegerInehrung wurden die besten AthletInnen ausgezeichnet.
Die neben mir sitzende Person im Flugzeug war sehr gesprächig.,Mein Sitznachbar im Flugzeug war sehr gesprächig.,Meine Sitznachbarin im Flugzeug war sehr gesprächig.,Mein:e Sitznachbar:in im Flugzeug war sehr gesprächig.,Mein_e Sitznachbar_in im Flugzeug war sehr gesprächig.,Mein*e Sitznachbar*in im Flugzeug war sehr gesprächig.,Mein/e Sitznachbar/in im Flugzeug war sehr gesprächig.,MeinE SitznachbarIn im Flugzeug war sehr gesprächig.
... Diskutiere mit der Person neben dir.,... Diskutiere mit deinem Sitznachbarn.,... Diskutiere mit deiner Sitznachbarin.,... Diskutiere mit deiner Sitznachbar:in.,... Diskutiere mit deiner Sitznachbar_in.,... Diskutiere mit deiner Sitznachbar*in.,... Diskutiere mit deiner Sitznachbar/in.,... Diskutiere mit deiner SitznachbarIn.
